"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
243,Playa Blanca,Lanzarote,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina,2009,No,,,
244,Playa los Lagos (Cotillo) fine,Fuerteventura,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina ,2009,No,,,
245,Playa los Lagos (Cotillo) grossa,Fuerteventura,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina ,2009,No,,,
246,Costa Caleta De Fuste,Fuerteventura,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina ,2009,No,,,
247,Costa Calma,Fuerteventura,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina ,2009,No,,,
248,Playa Quemada (nera),Lanzarote,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina,2009,No,,,
249,St. Andrew,Scozia ,,,Mar del Nord,Gran Bretagna,Europe,Marina,2009,No,,,
250,Atollo Ari,,Maldive,,Oceano Indiano,Repubblica delle Maldive,Asia,Marina,2009,No,,,
251,Deserto Wadi Rum,,,,,Giordania,Asia,Desertica,2009,No,,,
252,Deserto Marocco,,,,,Marocco,Africa,Desertica,2009,No,,,
253,Marrakech,,,,,Marocco,Africa,Desertica,2009,No,,,
254,Agadir,,,,Oceano Atlantico,Marocco,Africa,Marina,2009,No,,,
255,Djerba  mare,,,,Mar Mediterraneo,Tunisia,Africa,Marina,2005,No,,,
256,Hammamet,,,,Mar Mediterraneo,Tunisia,Africa,Marina,2009,No,,,
257,Leptis magna X,,,,,Libia,Africa,Desertica,2009,No,,,
258,Abu - Dhabi,,,,Golfo Persico,Emirati Arabi,Asia,Marina,2009,No,,,
259,Dubai,,,,Golfo Persico,Emirati Arabi,Asia,Marina,2009,No,,,
260,Deserto Emirati Arabi,,,,,Emirati Arabi,Asia,Desertica,2009,No,,,
261,Jabel  Ali,,,,Golfo Persico,Emirati Arabi,Asia,Marina,2009,No,,,
262,Deserto Sahara X,,,,,Egitto,Africa,Desertica,2009,No,,,
263,Deserto Egiziano 1,,,,,Egitto,Africa,Desertica,2009,No,,,
264,Deserto Egiziano 2,,,,,Egitto,Africa,Desertica,2009,No,,,
265,Deserto Egiziano 3,,,,,Egitto,Africa,Desertica,2009,No,,,
266,Punta del Sinai,,,,Mar Rosso,Egitto,Africa,Marina,2009,No,,,
267,Sharm el Sheik,,,,Mar Rosso,Egitto,Africa,Marina,2009,Si,,,
268,Isola di Mikonos,,Mikonos,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
269,Isola di kos sabbia nera,,Isola di Kos,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
270,Isola di Rodi,,Isola di Rodi,,Mar Mediterraneo,Grecia,Europe,Marina,2008,No,,,
271,Isola di Naxos,,Isola di Naxos,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
272,Isola di Santorini,, Santorini,,Mar Mediterraneo,Grecia,Europe,Marina,2008,No,,,
273,Isola di Creta,,Isola di Creta,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
274,Wamba,,,,,Kenia,Africa,altro,2009,No,,,
275,Plaja del Carmen,,,Quintana Roo,Mar dei Caraibi,Mexico,Central America,Marina,2009,No,,,
276,Isola Catalina,,Caraibi,,Mar dei Caraibi,Repubblica Dominicana,Central America,Marina,2009,No,,,
277,Isola de Sal 1,,Capo Verde,,Oceano Atlantico,Repubblica Capo verde,Africa,Marina,2009,No,,,
278,Isola Mauritius (1),,Mauritius,,Oceano Indiano,Repubblica di Mauritius,Africa,Marina,2009,No,,,
279,Isola di Zanzibar,,Zanzibar,,Oceano Indiano,Tanzania,Africa,Marina,2009,No,,,
280,Porto Caleri,Rovigo,,Veneto,Mar Adriatico,Italy,Europe,Marina,2010,No,,,
281,Piccole Antille,,Antille,,Mar delle Antille,,Central America,Marina,2009,No,,,
282,St. Maarten,,Antille,,Mar delle Antille,Olanda,Central America,Marina,2009,No,,,
283,Isole Vergini,,Antille,,Mar delle Antille,USA,Central America,Marina,2009,No,,,
284,Isola Koh Samui,,,,Golfo Di Tailandia,Thailandia,Asia,Marina,2009,No,,,
285,Challa,,,,,Perù,America Sud,altro,2009,No,,,
286,Nazarè,,,,Oceano Atlantico,Portogallo,Europe,Marina,2009,No,,,
287,Gran Canarie,,Canarie,,Oceano Atlantico,Spain,Africa,Vulcanica,2009,No,,,
288,Mentone,Costa Azzurra,,,Mar Mediterraneo,France,Europe,Marina,2009,No,,,
289,Antibes,Costa Azzurra,,,Mar Mediterraneo,France,Europe,Marina,2009,No,,,
290,Sant Tropez,Costa Azzurra,,,Mar Mediterraneo,France,Europe,Marina,2009,No,,,
291,Ibiza 1,,Baleari,,Mare Mediterraneo,Spain,Europe,Marina,2008,Si poca,,,
292,Isole Lofoten,,,,Mar di Norvegia,Norvegia,Europe,Marina,2009,No,,,
293,Letojanni,Messina,,Sicilia,Mar Ionio,Italy,Europe,Marina,2009,No,,,
294,St. Andrea Marciana,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
295,Cotonau,,,,Oceano Atlantico,Benin,Africa,Marina,2009,No,,,
296,Ammopi Sand,,Isola Karpathos,,Mediterraneo,Grecia,Europe,Marina,2009,Si poca,,,
297,Kyra Panagia Sand,,Isola Karpathos,,Mediterraneo,Grecia,Europe,Marina,2009,Si poca,,,
298,Apella Sand,,Isola Karpathos,,Mediterraneo,Grecia,Europe,Marina,2009,Si poca,,,
299,Lefkos,Sand,Isola Karpathos,,Mediterraneo,Grecia,Europe,Marina,2009,Si poca,,,
300,Marina di Sorso,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
301,Isole Komodo 1,,,,Mar di Flores,Indonesia,Asia,Marina,2009,No,,,
302,Isole Komodo2,,,,Mar di Flores,Indonesia,Asia,Marina,2009,No,,,
303,Punta della Suina Gallipoli grossa,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2009,No,,,
304,Santa Maria di Leuca,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2009,No,,,
305,Baratti  Pineta,Livorno,,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,Si Tanta,,,
306,Baia San felice Vieste,Foggia,,Puglia,Mar Adriatico,Italy,Europe,Marina,2009,No,,,
307,Defensola Vieste,Foggia,,Puglia,Mar Adriatico,Italy,Europe,Marina,2009,No,,,
308,Palombaggia,,,Corsica,Mar Tirreno,France,Europe,Marina,2009,No,,,
309,Sperlonga 2,Latina,,Lazio,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
310,Baia Trinità X,Olbia - Tempio,Isola della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
311,Procida (grossa),Napoli,Isola di Procida,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
312,Bosa -Porto Alabese,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
313,Torre Astura -Nettuno ,Roma ,,Lazio,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
314,Campomoro   Propriano,,,Corsica,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
315,Venice Beach,,,Los Angeles,Oceano Pacifico,California,USA,Marina,2009,No,,,
316,Fondi -Le dune-,Latina,,Lazio,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
317,Prassonissi,,Isola di Rodi,,Mar Mediterraneo,Grecia,Europe,Marina,2008,No,,,
318,Playa da Rocha,Algarve,,,Oceano Atlantico,Portogallo,Europe,Marina,2009,No,,,
319,Palmira,,,,,Siria,Asia,Desertica,2009,No,,,
320,Sète,,,Linguadoca-Rossiglione,Mar Mediterraneo,France,Europe,Marina,2009,No,,,
321,Lac Saint Croix,,,Provence,,France,Europe,Fluviale,2009,No,,,
322,Playa de Guasimeta,Lanzarote,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina,2009,No,,,
323,Tazacorte,La Palma,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina,2009,No,,,
324,Laganas,,Isola Zakynthos,,Mar Mediterraneo,Grecia,Europe,Marina ,2009,No,,,
325,Terschellin -Paal,,isola,,Mar del Nord,Olanda,Europe,Marina,2009,No,,,
326,Procida (fine),Napoli,Isola di Procida,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
327,Spiaggia del fungo,Napoli,Ischia,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
328,Grotta dell'acqua Scario,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
329,Baia Domizia X,Caserta,,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
330,Spiaggia dei Gabbiani Massetto,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
331,Palinuro,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2009,Si,,,
332,Vesuvio 1,Napoli,,Campania,,Italy,Europe,Vulcanica,2009,No,,,
333,Vesuvio 2,Napoli,,Campania,,Italy,Europe,Vulcanica,2009,No,,,
334,Sapri X,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
335,Palmarola 1,Napoli,Isole Ponziane,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
336,Palmarola 2,Napoli,Isole Ponziane,Campania,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
337,Nettuno bianco-Torre Astura,Roma ,,Lazio,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
338,Lido Ariana -Gaeta X,Latina,,Lazio,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
339,Posada Costa Smeralda,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
340,Platamona,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
341,Capo d'Orso Costa Smeralda X,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
342,Coda Cavallo S.Teodoro,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
343,Etna eruzione ott.'02 X,Catania,,Sicilia,,Italy,Europe,Vulcanica,2002,No,,,
344,Gelso Isola di Vulcano,Messina,Isole Eolie,Sicilia,Mar Tirreno,Italy,Europe,Vulcanica,2009,No,,,
345,Canne Isola di Lipari,Messina,Isole Eolie,Sicilia,Mar Tirreno,Italy,Europe,Vulcanica,2009,No,,,
346,Sa Mesa Longa,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
347,Pescoluse Marina di salve,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2009,No,,,
348,Marina Lunga Lipari X,Messina,Isole Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
349,Stintino Le Saline,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
350,San Nicola Arcella,Cosenza,,Calabria,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
351,Soverato marina,Catanzaro,,Calabria,Mar Ionio,Italy,Europe,Marina,2009,No,,,
352,Costa tra S. Alberto e Comacchio,Ferrara,,Emilia Romagna,Mar Adriatico,Italy,Europe,Marina,2009,No,,,
353,Hidalgo Punta Ala,Grosseto,,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
354,Cava M.Corchia Levignani (Pietà di Michelangelo),Lucca,,Toscana,,Italy,Europe,altro,2009,No,,,
355,Villa Rosa S.Benedetto del Tronto,Ascoli Piceno,,Marche,Mar Adriatico,Italy,Europe,Marina,2009,No,,,
356,Monte Pallino Fiume Frido S.Severino Lucano,Potenza,,Basilicata,,Italy,Europe,altro,2009,No,,,
357,Rocha dos Soidos Alte,Loulè,,Algarve,,Portogallo,Europe,altro,2009,No,,,
358,Cavoli,Livorno,Isola d'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
359,Capo Livere,Livorno,Isola d'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
360,Laconi,Livorno,Isola d'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
361,Keri - Beach Zakynthos X,,Isola di Zante ,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
362,Samia Cefalonia X,,Isola di Cefalonia,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
363,Minia Cefalonia,,Isola di Cefalonia,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
364,Fortaleza ,Canoa Quebrada,,,Oceano Atlantico,Brasile,America Sud,Marina,2009,No,,,
365,Nes palo 37,Frisia,Arcipelago delle Frisone,Ameland,Mar del Nord,Olanda,Europe,Marina,2009,No,,,
366,Cadzand - Bad,Zeeland,,,Mar del Nord,Olanda,Europe,Marina,2009,No,,,
367,Koksijde,Fiandre occidentali,,Fiandre,Mar del Nord,Belgio,Europe,Marina,2009,No,,,
368,Taragona,Barcellona,,Catalogna,Mar Mediterraneo,Spain,Europe,Marina,2009,No,,,
369,Empuries,Girona,,Catalogna,Mar Mediterraneo,Spain,Europe,Marina,2009,No,,,
370,Marbella X,,,Andalusia,Mar Mediterraneo,Spain,Europe,Marina,2009,No,,,
371,Ebla ,,,,,Siria,Europe,altro,2009,No,,,
372,Douz Sahara,,,,Deserto del Sahara,Tunisia,Africa,Desertica,2009,No,,,
373,Helenabaai,Westen cape,,,,Sudafrica,Africa,altro,2009,No,,,
374,Kirchenbosch,,,,,Sudafrica,Africa,altro,2009,No,,,
375,Hurghada,,,,Mar Rosso,Egitto,Africa,Marina,2009,No,,,
376,Isola de Sal 2,,Capo Verde,,Oceano Atlantico,Repubblica Capo verde,Africa,Marina,2009,No,,,
377,Strand-sotto Capetown,,,,Oceano Atlantico,Sudafrica,Africa,Marina,2009,No,,,
378,Sithonia,,,,Mar Egeo,Grecia,Europe,Marina,2009,No,,,
379,Loutra Killinis,,,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
380,Stoupa X,,,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
381,Navarino,,,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
382,Cayucos,,,,Oceano Pacifico,California,America,Marina,2009,No,,,
383,Pylos Golden Beach,,,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
384,Dubai beach,,,,Golfo Persico,Emirati Arabi,Asia,Marina,2009,No,,,
385,Palmira rovine,,,,,Siria,Asia,altro,2009,No,,,
386,Praia do Ritiro,Icapui Ceara,,,Oceano Atlantico,Brasile,America Sud,Marina,2009,No,,,
387,Lihnos Parga,,,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
388,Ammoudia vicino delta del fiume Acheron,,,Epiro,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
389,Fiume Acheron Parga,,,Epiro,,Grecia,Europe,Fluviale,2009,No,,,
390,Ayeyarwady  Fiume,,,,, Birmania (Myanmar),Asia,Fluviale,2009,No,,,
391,Fiume Jamuna ,Vrind Mathura,,Littar Pradesh,,India,Asia,Fluviale,2009,No,,,
392,Amersfoort fiume Eem,Utrecht,,,,Olanda,Europe,Fluviale,2009,No,,,
393,Soesterduinen (dune di sabbia),Utrecht,,,,Olanda,Europe,altro,2007,No,,,
394,"Kootwijkerzand riserva naturale di ""sabbie mobili"" ",Gelderland,,Veluwe,,Olanda,Europe,altro,2009,No,,,
395,Varadero ,,,,Oceano Atlantico,Cuba,Central America,Marina,2009,No,,,
396,San Marco Sciacca,Agrigento,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2009,si,,,
397,Sovareto Sciacca,Agrigento,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2009,si,,,
398,Bahamas,,Caraibi,,Oceano Atlantico,Bahamas ,Central America,Marina,2009,No,,,
399,Inish More,,Isole Aran,,Oceano Atlantico,Irlanda,Europe,Marina,2009,No,,,
400,Margherita di Savoia,Foggia,,Puglia,Mar Adriatico,Italy,Europe,Marina,2009,Si,,,
401,Zapponeta -  Torre Pietra,Foggia,,Puglia,Mar Adriatico,Italy,Europe,Marina,2009,Si,,,
402,Natal  Ponta Negra,,,,Oceano Atlantico,Brasile,America Sud,Marina,2009,Si,,,
403,Gran Canyon Valle del Sinai,,,Penisola del Sinai,Deserto egiziano,Egitto,Africa,Desertica,2009,Si,,,
404,Baratti  Spiaggia,Livorno,,Toscana,Mar Tirreno,Italy,Europe,Marina,2009,Si Tanta,,,
405,Fiume Po,,,Veneto,,Italy,Europe,Fluviale,2009,No,,,
406,San Vito lo Capo 2 X,Trapani,,Sicilia,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
407,Galapagos,,Isola Floreana,,Oceano Pacifico,Ecuador,America  Sud,Marina,2010,No,,,
408,Petra,,,,,Giordania,Asia,Desertica,2010,No,,,
409,Eilat,,,,Mar Rosso,Egitto,Africa,Marina,2010,No,,,
410,Bolsena,Viterbo,,Lazio,Lago di Bolsena,Italy,Europe,Lacustre,2010,Si,,,
411,Aveiro,,,Centro,Oceano Atlantico,Portogallo,Europe,Marina,2010,No,,,
412,Fano,Pesaro Urbino,,Marche,Mar Adriatico,Italy,Europe,Marina,2010,Si,,,
413,Solfatara di Pozzuoli,Napoli,,Campania,,Italy,Europe,Vulcanica,2010,No,,,
414,Pietra Leccese               (cava di Cursi),Lecce,,Puglia,,Italy,Europe,Cava,2010,No,,,
415,Porto Caleri            (dune interne fossili),Rovigo,,Veneto,Mar Adriatico,Italy,Europe,Marina,2010,Si poca,,,
416,Playa de ses Illetes 1,Formentera,Baleari,,Mar Mediterraneo,Spain,Europe,Marina,2010,No,,,
417,Arenale de Castell,Minorca,Baleari,,Mar Mediterraneo,Spain,Europe,Marina,2010,No,,,
418,Cale En Porter,Minorca,Baleari,,Mar Mediterraneo,Spain,Europe,Marina,2010,No,,,
419,Aspra -Bagheria X,Palermo,,Sicilia,Mar Tirreno,Italy,Europe,Marina,2010,Si poca,,,
420,Lu Litarroni S.Teresa di Gallura,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
421,Costa Paradiso spiaggia di Li Cossi,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
422,Maimoni di Cabras,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
423,Spiagga Cea,Ogliastra,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
424,Sussirboni,Ogliastra,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
425,La Marmorata S.Teresa di gallura,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
426,Cala Serraina- Trinità di Aglientu,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,No,,,
427,Nora,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2010,Si poca,,,
428,Son Saura,Minorca,Baleari,,Mar Mediterraneo,Spain,Europe,Marina,2010,Si poca,,,
429,Placencia ,,,,Mar dei Caraibi,Belize,Central America,Marina,2010,No,,,
430,Caya Island Ranguana,,,,Mar dei Caraibi,Belize,Central America,Marina,2010,No,,,
431,Sanremo 2 X,Imperia,,Liguria,Mar Tirreno,Italy,Europe,Marina,2010,Si,,,
432,Cavalaire sur Mer,,,Provenza Cote d'Azur,Mar Tirreno,France,Europe,Marina,2010,Si,,,
433,Mezzavalle ,Ancona,,Marche,Mar Adriatico,Italy,Europe,Marina,2010,Si,,,
434,Tirrenia,Pisa,,Toscana,Mar  Tirreno,Italy,Europe,Marina,2010,Si,,,
435,Lido di Pomposa Comacchio,Ferrara,,Emilia Romagna,Mar Adriatico,Italy,Europe,Marina,2010,Si,,,
436,Portopalo di Capo Passero,Siracusa,,Sicilia,Mar Ionio,Italy,Europe,Marina,2010,Si ,,,
437,Bruca di Scicli,Ragusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2010,Si,,,
438,Agnone Bagni Augusta X,Siracusa,,Sicilia,Mar Ionio,Italy,Europe,Marina,2010,Si,,,
439,Isola delle Correnti X,Siracusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2010,Si,,,
440,Marina di Ragusa X,Ragusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2010,Si,,,
441,Torre di Mezzo,Ragusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2010,No,,,
442,Randello,Ragusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2010,No,,,
443,Grado,Gorizia,,Friuli Venezia Giulia,Mar Adriatico,Italy,Europe,Marina,2010,Si,,,
444,Monte Tabor,,,,,Israele,Asia,Montagna,2004,No,,,
445,Monte degli Olivi,,,,,Israele,Asia,Montagna,2004,No,,,
446,Monte delle Beatitudini,,,,,Israele,Asia,Montagna,2004,No,,,
447,Qumram,,,Cisgiordania,Mar Morto,Israele,Asia,Lacustre,2004,No,,,
448,Mar Morto  (1),,,,Mar Morto,Israele,Asia,Lacustre,2004,No,,,
449,Petra,,,,,Giordania,Asia,Montagna,2010,No,,,
450,Isola Margarita,,,,Mar dei Caraibi,Venezuela,Central America,Marina,2010,No,,,
451,Minas Gerais(stato),,,Terra dei cercatori d'oro e d'argento,,Brasile,America Sud,Altro,2010,No,,,
452,Bar Beach,Lagos,,,Golfo di Guinea,Nigeria,Africa,Marina,2010,Si,,,
453,Vulcano EyjafjallajÖkull,,,,,Islanda,Europe,Vulcanica,2010,No,,,
454,Bruges,,,,Oceano Atlantico,Belgio,Europe,Marina,2010,No,,,
455,Urk,,,,Mare del Nord,Olanda,Europe,Marina,2010,No,,,
456,Fiume Passirio Merano  dentro l'acqua,Bolzano,,Trentino Alto Adige,,Italy,Europe,Fluviale,2010,Si poca,,,
457,Eraclea ,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2010,Si,,,
458,Delfini Beach,Kini,Isola di Syros,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,Si,,,
459,Ayos Ioannis,,Isola di Mikonos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,Si,,,
460,Tinos Xipitinchia,,,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,Si,,,
461,Agios Stefanos X,,Isola di Andros,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,Si,,,
462,Torre Mozza,,,Toscana,Mar Tirreno,Italy,Europe,Marina,2010,Si tanta,,,
463,Tzabika,,Isola di Rodi,,Mar Mediterraneo,Grecia,Europe,Marina,2010,Si,,,
464,Agali,,Isola Folegandros,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
465,Folegandros,,Isola Folegandros,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
466,Apollonas,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
467,Red Lake,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
468,Panormos,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
469,Glyfada X,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
470,Naxos,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
471,Kalantho,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
472,Aliko,,Isola di Naxos,Isole Cicladi,Mar Mediterraneo,Grecia,Europe,Marina,2010,No,,,
473,Fiume Passirio Merano fuori dell'acqua X,Bolzano,,Trentino Alto Adige,,Italy,Europe,Fluviale,2010,No,,,
474,Foce dell'Adige Cavanella d'Adige X,Chioggia-Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina-Fluviale,2010,Si poca,,,
475, Uroa  Beach,,Isola Zanzibar,,Oceano Indiano,Tanzania,Africa,Marina,2010,No,,,
476,Marsa Alam,,,,Mar Rosso,Egitto,Africa,Marina,2011,No,,,
477,Namib  Duna 45 (2),,,,Deserto,SudAfrica,Africa,Eolica-Desertica,2011,No,,,
478,Scalea,Cosenza,,Calabria,Mar Tirreno,Italy,Europe,Marina,2011,Si,,,
479,Fiume Piave Roncadelle,Treviso,,Veneto,,Italy,Europe,Fluviale,2011,No,,,
480,Sharm el Sheik Village Eden,,,,Mar Rosso,Egitto,Africa,Marina,2011,No,,,
481,Marina di Pisa,Pisa,,Toscana,Mar Tirreno,Italy,Europe,Marina,2011,Si,,,
482,Pesaro,Pesaro - Urbino,,Marche,Mar Adriatico,Italy,Europe,Marina,2011,Si,,,
483,Crotone,Crotone KR,,Calabria,Mar Ionio,Italy,Europe,Marina,2011,Si,,,
484,Duna di Maspalomas Gran Canarie,,Canarie,,Oceano Atlantico,Spain,Africa,Vulcanica,2011,No,,,
485,Etna eruzione 8/2011,,Catania,Sicilia,,Italy,Europe,Vulcanica,2011,Si,,,
486,Capo Pertusato,Bonifacio,,Corsica,Mar Adriatico,France,Europe,Marina,2011,Si,,,
487,Spiaggia Nera Nonza,,,Corsica,Mar Adriatico,France,Europe,Marina,2011,Si,,,
488,Punta Secca (Spiaggia Montalbano),,Ragusa,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2011,No,,,
489,Saline el Golfo (nera),Lanzarote,Isole Canarie,,Oceano Atlantico,Spain,Europe,Marina,2011,No,,,
490,Playa Fanabè Costa Adeje,Tenerife,Isole Canarie,,Oceano Atlantico,Spain,Europe,Marina,2011,No,,,
491,Santo Domingo,,Caraibi,Santo Domingo,Mar dei Caraibi,Repubblica Dominicana,Central America,Marina,2011,No,,,
492,Anguillara Sabazia Lago di Bracciano,Roma ,,Lazio,,Italy,Europe,Lacustre,2011,No,,,
493,Budir ,,,Penisola di Snaefellsnes,Mar di Norvegia,Islanda,Europe,Marina,2011,No,,,
494,Latravik/Hvallatur,,,Fiordo N/O ,Canale di Danimarca,Islanda,Europe,Marina,2011,No,,,
495,Okarjodur/Rifos,,,Da Siberia dopo 4-5 anni,Mar Glaciale Artico,Islanda,Europe,Marina,2011,No,,,
496,Lago Myvatn,Dimmuborgir,,,,Islanda,Europe,Fluviale,2011,No,,,
497,Mar Morto  (2),,,,Mar Morto,Israele,Asia,Lacustre,2011,No,,,
498,Panarea,Messina,Isole Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,2011,No,,,
499,Portorose,,,Carsico - litoranea,Mar Adriatico,Slovenia,Europe,Marina,2011,Si,,,
500,Agios Kiovra,,Isola di Leros,Egeo Meridionale,Mar Mediterraneo,Grecia,Europe,Marina,2011,No,,,
501,Patmos,,Isola di Patmos,Egeo Meridionale,Mar Mediterraneo,Grecia,Europe,Marina,2011,No,,,
502,Sant'Elena,,Isola di Lipsi,Egeo Meridionale,Mar Mediterraneo,Grecia,Europe,Marina,2011,No,,,
503,Psilli Ammos,,Isola di Patmos,Egeo Meridionale,Mar Mediterraneo,Grecia,Europe,Marina,2011,No,,,
504,Carbonaxa,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2011,No,,,
505,Tharros,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2011,No,,,
506,Is Arutas (sotto),Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2011,No,,,
507,Dune du Pilat,Gironda,,Aquitania,Oceano Atlantico,France,Europe,Marina,2005,Si,,,
508,Orzola,Lanzarote,Isole Canarie,,Oceano Atlantico,Spain,Europe,Marina,2011,No,,,
509,Playa de Jandia,Fuerteventura,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina ,2011,No,,,
