"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
59,Castiglione al Lago,Perugia,,Umbria,Lago Trasimeno,Italy,Europe,Lacustre,1996,No,,,
60,Marina Di Alberese,Grosseto,,Toscana,Mare Tirreno,Italy,Europe,Marina,1993,No,,,
61,Cala delle Cannelle,Grosseto,Isola del Giglio,Toscana,Mare Tirreno,Italy,Europe,Marina,2004,No,,,
62,Casetta Civinini,Grosseto,,Toscana,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
63,Cala Violina X,Grosseto,,Toscana,Mar tirreno,Italy,Europe,,2009,Si tanta,,,
64,Marina di Campo,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2008,Si,,,
65,Poveromo Marina di Massa,Massa Carrara,,Toscana,Mar Tirreno,Italy,Europe,Marina,2008,No,,,
66,Isola del Lazzaretto Nuovo,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
67,Sottomarina X,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
68,Cavallino,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
69,Cortina,Belluno,,Veneto,Fiume Boite,Italy,Europe,Fluviale,2008,Si tanta,,,
70,Cattolica X,Rimini,,Emilia Romagna,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
71,Riccione,Rimini,,Emilia Romagna,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
72,Porto verde,Rimini,,Emilia Romagna,Mar Adriatico,Italy,Europe,Marina,2008,Si poca,,,
73,Misano Adriatico  ,Rimini,,Emilia Romagna,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
74,Gabicce mare,Pesao Urbino,,Marche,Mar Adriatico,Italy,Europe,Marina,2008,No,,,
75,Termoli,Campobasso,,Molise,Mar Adriatico,Italy,Europe,Marina,2008,Si poca,,,
76,Castel Porziano,Roma sud,,Lazio,Mar Tirreno,Italy,Europe,Marina,2008,Si,,,
77,Pestum X,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
78,Calla Pozzillo S.Maria di Castellabate,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
79,Lungom.S.Marco Agropoli(verso mare)X,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
80,Lungom.S.Marco Agropoli(versostrada X,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
81,Ogliastra Marina Castellabate,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
82,Torre Pali,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2008,Si tanta,,,
83,Gallipoli Lido S.Giovanni X,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2008,Si tanta,,,
84,Torre S.Giovanni X,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2008,Si tanta,,,
85,Torre Lapillo X,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2008,Si tanta,,,
86,Punta Prosciutto X,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2008,Si tanta,,,
87,CasaLabate (verso mare) X,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
88,CasaLabate (verso strada) X,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
89,San Cataldo (verso mare),Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
90,San Cataldo (verso strada),Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
91,Santa Foca,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
